DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Euro area - 19 countries  (2015-2022),2024-06,115.14,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Euro area – 20 countries (from 2023),2023-09,112.83,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Euro area – 20 countries (from 2023),2023-10,113.08,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Euro area – 20 countries (from 2023),2023-11,113.20,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Euro area – 20 countries (from 2023),2023-12,113.46,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Euro area – 20 countries (from 2023),2024-01,113.79,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Euro area – 20 countries (from 2023),2024-02,114.30,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Euro area – 20 countries (from 2023),2024-03,114.54,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Euro area – 20 countries (from 2023),2024-04,114.72,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Euro area – 20 countries (from 2023),2024-05,114.95,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Euro area – 20 countries (from 2023),2024-06,115.14,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Estonia,2023-09,159.84,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Estonia,2023-10,160.62,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Estonia,2023-11,156.53,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Estonia,2023-12,153.16,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Estonia,2024-01,153.44,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Estonia,2024-02,153.53,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Estonia,2024-03,154.12,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Estonia,2024-04,153.40,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Estonia,2024-05,156.00,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Estonia,2024-06,154.97,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",2023-09,113.71,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",2023-10,113.97,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",2023-11,114.11,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",2023-12,114.36,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",2024-01,114.76,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",2024-02,115.31,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",2024-03,115.59,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",2024-04,115.84,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",2024-05,116.07,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",2024-06,116.29,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Greece,2023-09,99.24,,
ESTAT:PRC_HICP_MIDX(1.0),01/04/25 11:00:00,Monthly,"Index, 2015=100",Actual rentals for housing,Greece,2023-10,99.54,,
